"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003.15",3137.89013393538,-0.157077782604791,0.0628792899868328,0.00429654275572575,0.028346785367623
"ENSG00000000005.6",86.8879268856605,-0.612429868320247,0.176281062697342,2.04027804863863e-08,1.58832073615226e-06
"ENSG00000001036.14",2708.08588154403,0.127880894235336,0.0445649459326327,0.00207694370736365,0.0167824768793314
"ENSG00000001630.17",120.490183284382,0.184400980058204,0.0729025952023793,0.00327628256232112,0.0233061636353275
"ENSG00000002079.14",14.4726537755937,-0.0887453253165666,0.081389269353411,0.000513360998541749,0.00589598937877427
"ENSG00000002822.15",22.6161375125014,0.286140691352068,0.0761814659577611,2.2518070052879e-05,0.000527539844903922
"ENSG00000003096.14",660.810029235383,-0.569201793594768,0.114125124770007,2.69675254305572e-08,2.03984605402328e-06
"ENSG00000003402.20",5090.16392639458,-0.104155831288038,0.0408498474250877,0.00577509337736644,0.0349916090856967
"ENSG00000003436.16",1399.70809038509,-0.319573363819659,0.0907650466803835,3.90258702745763e-05,0.000817581766055966
"ENSG00000004142.12",7742.11640151232,0.103468780524278,0.0394052430322772,0.00548205459886124,0.03372987752257
"ENSG00000004478.8",17859.730314704,0.21162895983038,0.0564375867884515,6.53861547767148e-05,0.00122833877804482
"ENSG00000004776.13",284.274046129705,-0.955397052032636,0.138090251482468,3.7636630947267e-16,2.00798953429859e-13
"ENSG00000004779.10",3443.35124139951,0.158033081910828,0.0391151026420838,5.96939620732366e-05,0.00114014042882983
"ENSG00000004799.8",4682.29995954898,-0.725219374987242,0.123727948147049,1.61388213342822e-06,6.27811475644617e-05
"ENSG00000004846.16",47.9444294066172,-0.817092981257683,0.155385334932548,8.62361871421581e-09,7.61733949736493e-07
"ENSG00000005001.10",825.049374438123,0.193163849123235,0.0742739739649211,0.0023582808403033,0.0184413229517092
"ENSG00000005022.6",13449.1666278405,0.16529698925586,0.0417534877673615,0.000512790491871766,0.0058927739751386
"ENSG00000005073.6",65.6335217051105,0.0904473195549532,0.0953929316781479,6.29408078280698e-05,0.00119247797558352
"ENSG00000005102.14",426.256255195728,-0.682761755898505,0.121520272924962,1.23020323057003e-09,1.41046854063121e-07
"ENSG00000005108.16",339.39747341643,-0.21009026267549,0.0760898362381316,0.00128025719618174,0.011705561427453
"ENSG00000005187.12",223.723728623778,-0.175694212947975,0.083086449842662,1.28629421905038e-06,5.22535805899309e-05
"ENSG00000005249.13",4346.65231940819,-0.413595219078108,0.0926282101271613,4.53143444739963e-07,2.19782809670605e-05
"ENSG00000005421.9",26.0668316412235,0.830799275519191,0.154717377800993,0.00181408527106424,0.0151700748247366
"ENSG00000005436.14",1099.93781006649,-0.0844062479008247,0.0299392046923968,0.00280367437208702,0.0208679736467057
"ENSG00000005810.18",4282.03686995059,-0.134097009520535,0.0528730568839665,0.0046559626602725,0.0300102593247654
"ENSG00000006015.18",1118.1341152918,0.245782124250905,0.0697151846982584,7.5979888882689e-05,0.00137506072987423
"ENSG00000006059.4",12.075823221213,-0.260362801685748,0.191059145424705,0.000828019087352318,0.00842633666361029
"ENSG00000006118.15",5954.68346963614,0.219124062126344,0.0802134583786863,0.00226509689438818,0.0178627487449839
"ENSG00000006128.12",30.9550039301953,-0.748669684706808,0.160917030831158,0.000294431910640968,0.00388221377720118
"ENSG00000006210.7",5153.51160346705,-0.586685988811155,0.103350060523845,6.13437506151917e-10,7.69469854895385e-08
"ENSG00000006283.18",83.7178353814159,-0.128127473736477,0.100131952745152,0.00159948509287045,0.0138232821827469
"ENSG00000006377.11",29.5600259855997,0.201017830831052,0.199840353229023,8.4485303553155e-05,0.00148662925962003
"ENSG00000006453.14",1943.02338294884,0.141063117532794,0.0534473515527942,0.00385489781050256,0.0261526249821824
"ENSG00000006534.16",966.904741477684,0.149685838826421,0.0606377574030109,0.00873029479008332,0.0469534967379562
"ENSG00000006712.15",4947.60942767744,0.123825067465383,0.0384864527881614,0.0007045158082609,0.00747163942532511
"ENSG00000006788.14",27.9358239634369,0.279039101589108,0.0941306996343796,0.000393529382160538,0.00483027137968459
"ENSG00000007080.11",2789.67269681387,0.14338939175737,0.0570394164101934,0.00501107350668702,0.0316117129586275
"ENSG00000007255.10",1690.18153028435,0.187974250494323,0.0604977176822751,0.00059373371797432,0.0065457376941093
"ENSG00000007314.12",184.82919108415,-0.971151270190512,0.115928685254408,1.83963279479574e-12,4.15881732491282e-10
"ENSG00000007372.24",50.0576113109946,0.199363206306103,0.18175342862042,7.09586736492423e-07,3.17955248309158e-05
"ENSG00000007520.4",1860.10207899595,0.154235850431178,0.0478741253993166,0.00130550889970079,0.0118697189531078
